modbusAddr,name,register,datatype,desc
300725,null.null,Input Registers,UINT,undefined
300726,AutbusPADev49_slot0_var1.AutbusPADev49_slot0_var1,Input Registers,USINT,InData1
300727,AutbusPADev49_slot0_var2.AutbusPADev49_slot0_var2,Input Registers,UINT,InData2
300728,AutbusPADev49_slot0_var3.AutbusPADev49_slot0_var3,Input Registers,ULINT,timer
300732,AutbusPADev49_slot0_var4.AutbusPADev49_slot0_var4,Input Registers,UINT,year
300733,AutbusPADev49_slot0_var5.AutbusPADev49_slot0_var5,Input Registers,USINT,month
300734,AutbusPADev49_slot0_var6.AutbusPADev49_slot0_var6,Input Registers,USINT,day
300735,AutbusPADev49_slot0_var7.AutbusPADev49_slot0_var7,Input Registers,USINT,hour
300736,AutbusPADev49_slot0_var8.AutbusPADev49_slot0_var8,Input Registers,USINT,minute
300737,AutbusPADev49_slot0_var9.AutbusPADev49_slot0_var9,Input Registers,USINT,second
400222,AutbusPADev49_slot0_var10.AutbusPADev49_slot0_var10,Holding Registers,USINT,OutData1
400223,AutbusPADev49_slot0_var11.AutbusPADev49_slot0_var11,Holding Registers,USINT,OutData2
300738,AutbusPADev49_slot0_alarm1.AutbusPADev49_slot0_alarm1,Input Registers,USINT,alarm1
300739,AutbusPADev49_slot0_alarm2.AutbusPADev49_slot0_alarm2,Input Registers,USINT,alarm2
400224,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400225,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300740,null.null,Input Registers,UINT,undefined
300741,AutbusPADev50_slot0_var1.AutbusPADev50_slot0_var1,Input Registers,USINT,InData1
300742,AutbusPADev50_slot0_var2.AutbusPADev50_slot0_var2,Input Registers,UINT,InData2
300743,AutbusPADev50_slot0_var3.AutbusPADev50_slot0_var3,Input Registers,ULINT,timer
300747,AutbusPADev50_slot0_var4.AutbusPADev50_slot0_var4,Input Registers,UINT,year
300748,AutbusPADev50_slot0_var5.AutbusPADev50_slot0_var5,Input Registers,USINT,month
300749,AutbusPADev50_slot0_var6.AutbusPADev50_slot0_var6,Input Registers,USINT,day
300750,AutbusPADev50_slot0_var7.AutbusPADev50_slot0_var7,Input Registers,USINT,hour
300751,AutbusPADev50_slot0_var8.AutbusPADev50_slot0_var8,Input Registers,USINT,minute
300752,AutbusPADev50_slot0_var9.AutbusPADev50_slot0_var9,Input Registers,USINT,second
400226,AutbusPADev50_slot0_var10.AutbusPADev50_slot0_var10,Holding Registers,USINT,OutData1
400227,AutbusPADev50_slot0_var11.AutbusPADev50_slot0_var11,Holding Registers,USINT,OutData2
300753,AutbusPADev50_slot0_alarm1.AutbusPADev50_slot0_alarm1,Input Registers,USINT,alarm1
300754,AutbusPADev50_slot0_alarm2.AutbusPADev50_slot0_alarm2,Input Registers,USINT,alarm2
400228,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400229,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300755,null.null,Input Registers,UINT,undefined
300756,AutbusPADev51_slot0_var1.AutbusPADev51_slot0_var1,Input Registers,USINT,InData1
300757,AutbusPADev51_slot0_var2.AutbusPADev51_slot0_var2,Input Registers,UINT,InData2
300758,AutbusPADev51_slot0_var3.AutbusPADev51_slot0_var3,Input Registers,ULINT,timer
300762,AutbusPADev51_slot0_var4.AutbusPADev51_slot0_var4,Input Registers,UINT,year
300763,AutbusPADev51_slot0_var5.AutbusPADev51_slot0_var5,Input Registers,USINT,month
300764,AutbusPADev51_slot0_var6.AutbusPADev51_slot0_var6,Input Registers,USINT,day
300765,AutbusPADev51_slot0_var7.AutbusPADev51_slot0_var7,Input Registers,USINT,hour
300766,AutbusPADev51_slot0_var8.AutbusPADev51_slot0_var8,Input Registers,USINT,minute
300767,AutbusPADev51_slot0_var9.AutbusPADev51_slot0_var9,Input Registers,USINT,second
400230,AutbusPADev51_slot0_var10.AutbusPADev51_slot0_var10,Holding Registers,USINT,OutData1
